"risk","rd","lo","hi"
0.03,0.0256827805845376,-0.0250224876819643,0.0763615858764427
0.04,0.0131345995217728,-0.0251732976904952,0.0481900427972186
0.05,0.00346980425652926,-0.0312133324304977,0.0324743029534873
0.07,-0.0104060656917682,-0.0461047335928545,0.0183915575905494
0.1,-0.0232361796751707,-0.0566323610898739,0.00842359504486654
0.14,-0.0325408519471728,-0.0590502767923511,-0.00521538612531422
0.2,-0.0381486180080805,-0.0764957632950089,0.00108021560753647
0.28,-0.0381868298894234,-0.0791500742403502,0.00178054022617074
0.4,-0.0336130600875921,-0.0818657396972095,0.0111942961851311
0.5,-0.0295465666114261,-0.102263088642319,0.040187464604425
