"definition","description","n","limited_n","colectomy_n","quintile","rd","rd_pp","ci_lo","ci_hi","ci_lo_pp","ci_hi_pp","effective_B","legacy_point_pp"
"S2_A_20_39_vs_40_79","limited 20-39 vs colectomy 40-79",7450,3212,4238,"Q1",-0.00440594292631164,-0.440594292631164,-0.0304979715109437,0.0324764055141857,-3.04979715109437,3.24764055141857,1000,-0.6
"S2_A_20_39_vs_40_79","limited 20-39 vs colectomy 40-79",7450,3212,4238,"Q2",-0.0238622922103843,-2.38622922103843,-0.0791943663017694,0.0125222500010403,-7.91943663017694,1.25222500010403,1000,-2.6
"S2_A_20_39_vs_40_79","limited 20-39 vs colectomy 40-79",7450,3212,4238,"Q3",-0.00983316958989353,-0.983316958989353,-0.0648022925456396,0.0452226895671049,-6.48022925456396,4.52226895671049,1000,-1.7
"S2_A_20_39_vs_40_79","limited 20-39 vs colectomy 40-79",7450,3212,4238,"Q4",-0.0383035316293164,-3.83035316293163,-0.0949822492707132,0.017749258044857,-9.49822492707131,1.7749258044857,1000,-3.6
"S2_A_20_39_vs_40_79","limited 20-39 vs colectomy 40-79",7450,3212,4238,"Q5",-0.0684416139396812,-6.84416139396812,-0.122167578736128,-0.00143617128365176,-12.2167578736128,-0.143617128365176,1000,-6.5
"S2_B_exclude_code32","exclude code 32: limited 30-31 vs colectomy 40-41",6676,2602,4074,"Q1",0.00223905609204653,0.223905609204653,-0.0341360821127008,0.0306471163356776,-3.41360821127008,3.06471163356776,1000,-0.1
"S2_B_exclude_code32","exclude code 32: limited 30-31 vs colectomy 40-41",6676,2602,4074,"Q2",-0.0341738579194601,-3.41738579194601,-0.0789221356707135,0.0144332694155603,-7.89221356707135,1.44332694155603,1000,-3.6
"S2_B_exclude_code32","exclude code 32: limited 30-31 vs colectomy 40-41",6676,2602,4074,"Q3",-0.00841703358480689,-0.841703358480689,-0.0768961938244965,0.0353496226240295,-7.68961938244965,3.53496226240295,1000,-0.9
"S2_B_exclude_code32","exclude code 32: limited 30-31 vs colectomy 40-41",6676,2602,4074,"Q4",-0.0421042908928032,-4.21042908928032,-0.0889188067919553,0.0284023051687225,-8.89188067919553,2.84023051687225,1000,-5.2
"S2_B_exclude_code32","exclude code 32: limited 30-31 vs colectomy 40-41",6676,2602,4074,"Q5",-0.0591633820659814,-5.91633820659814,-0.13057902768303,0.00864774575445332,-13.057902768303,0.864774575445332,1000,-5.2
"S2_C_colectomy_40_79","limited 30-32 vs colectomy 40-79",7115,2877,4238,"Q1",0.00182968945403905,0.182968945403905,-0.0292721278911906,0.0334382891661011,-2.92721278911906,3.34382891661011,1000,-0.4
"S2_C_colectomy_40_79","limited 30-32 vs colectomy 40-79",7115,2877,4238,"Q2",-0.0230392161612127,-2.30392161612127,-0.0770421268765079,0.0180115166053099,-7.70421268765079,1.80115166053099,1000,-2.3
"S2_C_colectomy_40_79","limited 30-32 vs colectomy 40-79",7115,2877,4238,"Q3",-0.0123616819591953,-1.23616819591953,-0.0665348203053816,0.0412480564159966,-6.65348203053816,4.12480564159966,1000,-1.8
"S2_C_colectomy_40_79","limited 30-32 vs colectomy 40-79",7115,2877,4238,"Q4",-0.0352956099923809,-3.52956099923809,-0.0979304858005929,0.0195251233599483,-9.79304858005929,1.95251233599483,1000,-3.5
"S2_C_colectomy_40_79","limited 30-32 vs colectomy 40-79",7115,2877,4238,"Q5",-0.0708996227538641,-7.08996227538641,-0.124251831417395,0.00136976198413435,-12.4251831417395,0.136976198413435,1000,-6.5
