"histology","risk_half","n","component","weighted_smd"
"nonmucinous","low",767,"age",-0.0480572763165145
"nonmucinous","low",767,"female",0.0647987448887779
"nonmucinous","low",767,"year",0.164214477437639
"nonmucinous","low",767,"size_mm(imp)",-0.114808315799964
"nonmucinous","low",767,"size_missing",-0.165525861682843
"nonmucinous","low",767,"T=T2",-0.0618730716520748
"nonmucinous","low",767,"T=T3",-0.00539972018452696
"nonmucinous","low",767,"T=T4",0.130025216992221
"nonmucinous","low",767,"grade=1",0.130091930806873
"nonmucinous","low",767,"grade=2",-0.0981974765626847
"nonmucinous","low",767,"grade=3",-0.0357272978065099
"nonmucinous","low",767,"grade=4",0
"nonmucinous","low",767,"grade=0",-0.0377604692757545
"nonmucinous","low",767,"hist=mucinous",0
"nonmucinous","low",767,"hist=GCA",0
"nonmucinous","low",767,"hist=SRCC",0
"nonmucinous","low",767,"Regional",0.122649571873418
"nonmucinous","low",767,"nodal_risk",-0.170111319663025
"nonmucinous","high",1522,"age",-0.159550202770639
"nonmucinous","high",1522,"female",-0.00863904619183744
"nonmucinous","high",1522,"year",0.104998060664453
"nonmucinous","high",1522,"size_mm(imp)",0.0395869404142029
"nonmucinous","high",1522,"size_missing",-0.0527069305623394
"nonmucinous","high",1522,"T=T2",-0.036707195534337
"nonmucinous","high",1522,"T=T3",-0.0047590156828534
"nonmucinous","high",1522,"T=T4",0.020848611852254
"nonmucinous","high",1522,"grade=1",-0.0237760886730152
"nonmucinous","high",1522,"grade=2",0.0291218015133701
"nonmucinous","high",1522,"grade=3",-0.0644062265680784
"nonmucinous","high",1522,"grade=4",0.120348795220151
"nonmucinous","high",1522,"grade=0",0.0391723332990086
"nonmucinous","high",1522,"hist=mucinous",0
"nonmucinous","high",1522,"hist=GCA",0
"nonmucinous","high",1522,"hist=SRCC",0
"nonmucinous","high",1522,"Regional",0.0351104516224465
"nonmucinous","high",1522,"nodal_risk",0.00511384453584916
"mucinous","low",1171,"age",-0.0577062590256211
"mucinous","low",1171,"female",-0.0375161984052614
"mucinous","low",1171,"year",-0.373979717221651
"mucinous","low",1171,"size_mm(imp)",-0.125700238262846
"mucinous","low",1171,"size_missing",0.109442425762267
"mucinous","low",1171,"T=T2",0.193548145526499
"mucinous","low",1171,"T=T3",-0.107422828974101
"mucinous","low",1171,"T=T4",-0.105981332354991
"mucinous","low",1171,"grade=1",-0.119516288500683
"mucinous","low",1171,"grade=2",0.239803638542235
"mucinous","low",1171,"grade=3",-0.0418538347655944
"mucinous","low",1171,"grade=4",-0.0559642601006028
"mucinous","low",1171,"grade=0",-0.0937153270817074
"mucinous","low",1171,"hist=mucinous",0
"mucinous","low",1171,"hist=GCA",0
"mucinous","low",1171,"hist=SRCC",0
"mucinous","low",1171,"Regional",-0.117543381769344
"mucinous","low",1171,"nodal_risk",-0.0749916674061296
"mucinous","high",923,"age",0.0364905193906901
"mucinous","high",923,"female",0.0868327751283595
"mucinous","high",923,"year",-0.160133109331068
"mucinous","high",923,"size_mm(imp)",-0.0256366698138715
"mucinous","high",923,"size_missing",-0.0391680492615258
"mucinous","high",923,"T=T2",-0.139282627142528
"mucinous","high",923,"T=T3",-0.00678737685693917
"mucinous","high",923,"T=T4",0.0250851227914516
"mucinous","high",923,"grade=1",0.0594697033313824
"mucinous","high",923,"grade=2",0.0576273007282457
"mucinous","high",923,"grade=3",0.00983281489415572
"mucinous","high",923,"grade=4",-0.00675791598886489
"mucinous","high",923,"grade=0",-0.145628640634964
"mucinous","high",923,"hist=mucinous",0
"mucinous","high",923,"hist=GCA",0
"mucinous","high",923,"hist=SRCC",0
"mucinous","high",923,"Regional",0.132289284192675
"mucinous","high",923,"nodal_risk",0.0514442377262026
"GCA","low",1520,"age",0.122409458057564
"GCA","low",1520,"female",-0.018993504939659
"GCA","low",1520,"year",0.224566034013348
"GCA","low",1520,"size_mm(imp)",0.172481649922135
"GCA","low",1520,"size_missing",0.0525314852000853
"GCA","low",1520,"T=T2",-0.0755104322537263
"GCA","low",1520,"T=T3",0.136951317038223
"GCA","low",1520,"T=T4",0.014671207815876
"GCA","low",1520,"grade=1",0.0552586878307811
"GCA","low",1520,"grade=2",-0.128265985843546
"GCA","low",1520,"grade=3",0.0534220187219776
"GCA","low",1520,"grade=4",0.017134197021211
"GCA","low",1520,"grade=0",0.0446476276151165
"GCA","low",1520,"hist=mucinous",0
"GCA","low",1520,"hist=GCA",0
"GCA","low",1520,"hist=SRCC",0
"GCA","low",1520,"Regional",-0.00303598651379343
"GCA","low",1520,"nodal_risk",0.103411372358222
"GCA","high",758,"age",0.080443479393253
"GCA","high",758,"female",-0.066680639864346
"GCA","high",758,"year",0.0158654545159307
"GCA","high",758,"size_mm(imp)",0.0247933936647534
"GCA","high",758,"size_missing",0.0764261501398912
"GCA","high",758,"T=T2",-0.0318142124919282
"GCA","high",758,"T=T3",0.0259603096284229
"GCA","high",758,"T=T4",-0.0225846878321865
"GCA","high",758,"grade=1",-0.0638071462388596
"GCA","high",758,"grade=2",-0.160904153683827
"GCA","high",758,"grade=3",0.124784927288573
"GCA","high",758,"grade=4",-0.077579765215297
"GCA","high",758,"grade=0",0.0845715407907295
"GCA","high",758,"hist=mucinous",0
"GCA","high",758,"hist=GCA",0
"GCA","high",758,"hist=SRCC",0
"GCA","high",758,"Regional",-0.0846534705710581
"GCA","high",758,"nodal_risk",0.0589485378609509
