"component","smd_unweighted","smd_weighted","subgroup","histology","risk_half"
"age",-0.164220651703563,-9.37991698007732e-14,"nonmucinous_low","nonmucinous","low"
"I(age^2)",-0.188308086159368,-1.03487940875371e-13,"nonmucinous_low","nonmucinous","low"
"female",0.0138976658872548,2.09075762561069e-14,"nonmucinous_low","nonmucinous","low"
"year",-0.00803340600637126,0,"nonmucinous_low","nonmucinous","low"
"logsize",-0.0256582844855801,1.87200162808251e-14,"nonmucinous_low","nonmucinous","low"
"size_miss",-0.1827902959846,-9.33289816877474e-14,"nonmucinous_low","nonmucinous","low"
"T_fT2",0.00817910138098815,-1.50608801292549e-15,"nonmucinous_low","nonmucinous","low"
"T_fT3",0.0281461185465336,6.72066215847634e-14,"nonmucinous_low","nonmucinous","low"
"T_fT4",0.112797210962524,2.14448442792967e-14,"nonmucinous_low","nonmucinous","low"
"grade_f1",0.0752774062184264,5.66518111997372e-14,"nonmucinous_low","nonmucinous","low"
"grade_f2",0.0154098365996782,-1.51934441853207e-14,"nonmucinous_low","nonmucinous","low"
"grade_f3",-0.0545263526343569,-1.67481592983096e-14,"nonmucinous_low","nonmucinous","low"
"grade_f4",0,0,"nonmucinous_low","nonmucinous","low"
"stage_fRegional",0.204984362205727,2.83738558963516e-13,"nonmucinous_low","nonmucinous","low"
"race4_fNon-Hispanic Black",-0.00922373332370287,1.11396471109598e-14,"nonmucinous_low","nonmucinous","low"
"race4_fNon-Hispanic White",0.075937985576527,4.73543674025295e-14,"nonmucinous_low","nonmucinous","low"
"race4_fOther/Unknown",-0.0387033672339905,-2.97241295842356e-14,"nonmucinous_low","nonmucinous","low"
"income_hi",0.0389864787020431,1.5583655601234e-14,"nonmucinous_low","nonmucinous","low"
"metro",0.0138588976439669,9.85761256947645e-15,"nonmucinous_low","nonmucinous","low"
"married",0.133248931574296,6.81215918512232e-14,"nonmucinous_low","nonmucinous","low"
"nodal_risk",0.0273016209506629,-0.0123533712061588,"nonmucinous_low","nonmucinous","low"
"age",-0.288788374689364,1.80090713578609e-11,"nonmucinous_high","nonmucinous","high"
"I(age^2)",-0.311310584450378,1.79828329955689e-11,"nonmucinous_high","nonmucinous","high"
"female",-0.0320180475299186,3.88015050499335e-11,"nonmucinous_high","nonmucinous","high"
"year",-0.0739848756405004,-4.58222286539102e-11,"nonmucinous_high","nonmucinous","high"
"logsize",0.14886140185432,-1.11029620043396e-11,"nonmucinous_high","nonmucinous","high"
"size_miss",-0.0985611383260271,2.40902797672941e-11,"nonmucinous_high","nonmucinous","high"
"T_fT2",-0.0410491395809144,9.50563025389918e-12,"nonmucinous_high","nonmucinous","high"
"T_fT3",0.0276454813117503,-4.43121870626298e-12,"nonmucinous_high","nonmucinous","high"
"T_fT4",-0.00547143455488952,-9.49533627820884e-12,"nonmucinous_high","nonmucinous","high"
"grade_f1",-0.0691628753807638,-2.03970322703501e-11,"nonmucinous_high","nonmucinous","high"
"grade_f2",0.0582771896136295,-1.01641565480889e-10,"nonmucinous_high","nonmucinous","high"
"grade_f3",-0.0391333098213061,-4.03745836292813e-11,"nonmucinous_high","nonmucinous","high"
"grade_f4",0.115000369793477,9.8655238177315e-10,"nonmucinous_high","nonmucinous","high"
"stage_fRegional",0.105615993560602,1.07806532357206e-11,"nonmucinous_high","nonmucinous","high"
"race4_fNon-Hispanic Black",-0.0199648709759613,-1.85502812767188e-12,"nonmucinous_high","nonmucinous","high"
"race4_fNon-Hispanic White",0.0340265155299102,2.29046791247563e-11,"nonmucinous_high","nonmucinous","high"
"race4_fOther/Unknown",0.0276451260073781,-7.65879814832868e-12,"nonmucinous_high","nonmucinous","high"
"income_hi",-0.0426904742821842,-1.77336574210622e-11,"nonmucinous_high","nonmucinous","high"
"metro",-0.0645042533265727,3.72427163994774e-12,"nonmucinous_high","nonmucinous","high"
"married",0.189060729387041,-1.27029317347616e-11,"nonmucinous_high","nonmucinous","high"
"nodal_risk",0.107601072151969,-0.000277919360534172,"nonmucinous_high","nonmucinous","high"
"age",-0.109193094200636,-1.17717755204557e-08,"mucinous_low","mucinous","low"
"I(age^2)",-0.121056107460435,-1.15866407984181e-08,"mucinous_low","mucinous","low"
"female",-0.0600463790602354,1.5913340800281e-08,"mucinous_low","mucinous","low"
"year",-0.546612521647687,9.95559234237181e-09,"mucinous_low","mucinous","low"
"logsize",-0.0856375202845258,5.55806735027205e-10,"mucinous_low","mucinous","low"
"size_miss",0.0759009508980127,-1.87308115224491e-08,"mucinous_low","mucinous","low"
"T_fT2",0.200267153841519,5.50699656558294e-09,"mucinous_low","mucinous","low"
