"replicate","nonmucinous_low","nonmucinous_high","mucinous_low","mucinous_high","GCA_low","GCA_high","SRCC_low","SRCC_high"
1,-0.0369888085212536,-0.0732025169674148,0.0304072985813969,-0.0393916221951841,-0.0240501577909221,0.0187905374775822,NA,0.00251826154143298
2,-0.0530235599575479,-0.0826472851461892,-0.0154605865769837,0.0115364310261405,-0.00324144353196613,0.0482766384975441,NA,0.0614676953103057
3,0.00263552569254694,-0.118795113232167,-0.0378605580394488,-0.0699372225434275,-0.0215302872543586,0.0484431343758853,NA,0.0980619105377668
4,-0.0578387110289796,-0.104265515662129,-0.0253651048041837,0.00954199412923434,-0.00895331809348431,0.0786825849735102,NA,0.156126727792608
5,-0.0548753197165603,-0.0569295648899715,-0.0237236361206919,-0.0994947518075689,-0.0081976819096368,0.0651946894596255,NA,-0.0025800044532357
6,-0.00581882375936602,-0.0903241820191367,0.0193899076634909,0.00815452314012044,0.00332011843702308,0.0355268033456716,NA,0.164684056773104
7,0.0214488988948367,-0.145628205682643,-0.0754824435153899,-0.0106294924427717,-0.0111054084199467,0.0700680440698034,NA,0.172121094129264
8,-0.0438734929606854,-0.0820769791783275,-0.0186034446470916,-0.0110529463618182,-0.0381441375660248,0.0651159922843055,NA,0.0316734333469604
9,-0.0170674680509226,-0.0512647338284096,-0.0693836155373965,0.000729376136252208,-0.0237722666241383,0.0446598202831036,NA,-0.0274268777924773
10,0.0135935763437613,-0.114524404189424,-0.0205894889214606,-0.0477503424367407,0.0106133652327985,0.0632551440305991,NA,-0.0396383125061354
11,0.0186346391764149,-0.173841951901212,-0.0158755666676582,-0.0169647510594853,-0.0152792296124624,0.0233910459918056,NA,0.0629004624946602
12,-0.00684114574552902,-0.115705682279606,0.00705637385045833,-0.0692571259331823,-0.00534112720877934,0.00537982628820238,NA,0.0958116137288454
13,-0.0270537777124891,-0.103600132536471,-0.0204905068781585,0.0142471495911237,-0.00302390204429564,0.0669694534678295,NA,-0.0194788565988341
14,-0.0128264678868583,-0.0708501373135398,0.0145722620361568,-0.0624709416037016,-0.00277312656223918,0.0142301026998368,NA,0.0254580241681519
15,-0.0626992511861116,-0.0684160163661868,-0.0182871754648056,-0.0326635858974935,-0.00107292874692131,-0.00471320044499376,NA,-0.0136495935437333
16,-0.0965589160835207,-0.0453736469780294,-0.0103505518069823,0.00214078707082105,-0.00252902499698378,0.000543566112061883,NA,-0.0204645649178254
17,-0.0289936259652056,-0.115831318659563,-0.0386565511841908,-0.0689203600655868,-0.0166495278954944,0.0184185513706502,NA,0.0306289826763588
18,-0.0201757275635262,-0.0726918879111747,-0.03701893985446,-0.032253460730027,-0.0237066114259662,0.0368396091090238,NA,0.00263798481174982
19,-0.0561650997521291,-0.108888043252454,-0.0189936372809326,-0.0620986920703293,-0.015102074406806,0.0337856330110618,NA,-0.0245348572437907
20,0.00448262877073977,-0.0722648628048366,0.00557608792725653,-0.0357455493568301,-0.0135433139207306,0.0147304702383974,NA,0.0206595273177712
21,-0.060091851799071,-0.0465214717086657,-0.0423337268185593,0.00630682575619371,-0.0285768353577235,-0.015339376450817,NA,0.0267979881178362
22,-0.0426643334636447,-0.0994010572022333,0.0175425063842698,-0.0585058331431243,0.0147602146677001,-0.0341474197533398,NA,0.0660818886653388
23,-0.0362829201954634,-0.106003211632992,-0.0192343453193664,-0.0611436624337288,-0.00183621917416583,0.0100770550870404,NA,0.0855680802118187
24,0.00739899291993906,-0.0604932029845943,-0.021721655733716,-0.0448247809529335,-0.0216053570458798,-0.00941114726262085,NA,0.0388442424244533
25,-0.0425523045238661,-0.149703799263038,-0.019483978527483,-0.018521664144981,-0.00362245942930429,0.00316927271941669,NA,-0.0323446389386879
26,-0.0261656703305993,-0.0655163836428098,-0.0538884224267572,0.0151985191626713,-0.0266266469062929,0.0875171665224532,NA,0.025090826141027
27,-0.0150540941268309,-0.0783588146044126,-0.0390276064436371,-0.0083907671142156,-0.000521525132324757,-0.00991339488040652,NA,0.0800463213363893
28,-0.0322171910419532,-0.0710605910066108,-0.0168182906722022,-0.0157497545611165,-0.028254881858091,0.0360862265614801,NA,0.144758993179436
29,-0.0380798252308477,-0.0687623686217723,-0.0281096520557617,-0.0250702368370437,-0.0246609598423619,0.0583056967625035,NA,-0.0807058003857181
30,-0.115523107425438,-0.112931730539164,-0.015403487190958,0.00739796165756684,-0.0261692646833647,0.0214624609794739,NA,0.0841576622117377
31,0.00463452031544181,-0.119193554907361,-0.0593905118811685,-0.0669718456593495,-0.0320243620025668,0.0156952749054051,NA,0.208057996625922
32,-0.0277993438363183,-0.0417996800603365,0.00587150394118748,-0.0401358298010669,-0.0245767147778125,0.00851058426860954,NA,0.128933718227005
33,-0.0260846084488095,-0.095200400243131,-0.00397624731572824,0.0237748274697145,-0.000286884331600876,0.0407564706745534,NA,0.0313415808892225
34,-0.0481354917083997,-0.0893938305603537,0.0542724245054275,-0.0820380359729286,-0.0124219146151844,0.0635817550331955,NA,0.120219818468601
35,-0.0477562235819115,-0.0698059282337843,-0.0451277513003453,-0.032945016853302,-0.00924097805305043,0.0503660666415382,NA,0.0426959860366313
36,-0.0175278353658233,-0.0879112563718022,-0.0428669151745801,0.0042176850524536,-0.0225077172228111,0.0571435523934422,NA,0.057421970531456
37,-0.00013778333384501,-0.136583223688009,-0.000979386908037214,-0.074023327325855,-0.000823979990319128,0.0740602601418613,NA,-0.0024054730636659
38,-0.0422193229494641,-0.113184628685425,-0.0372693162064802,0.0179084910804811,0.0146807176810128,-0.014612454259272,NA,0.049739091642732
39,-0.0862544666092685,-0.0983200494273682,-0.0240462770549153,-0.0348483138406153,-0.0317826226820064,0.00597325991914252,NA,-0.0797833494867222
40,-0.0120251133283754,-0.0652149874549451,-0.0237959420716897,-0.078912786848702,-0.0187009497802411,-0.00994712323126612,NA,0.112143605344533
41,-0.0333795898442439,-0.0606973465391893,-0.0267140112787543,-0.00517004822874617,-0.0169994797764209,0.068624004107207,NA,0.025954299669205
42,-0.0882241223600214,-0.087330694947973,-0.0391241542382303,-0.0186840835965543,-0.0151440341671999,0.0330675889807723,NA,0.0426538083173661
43,-0.0614521058620739,-0.118898382335428,-0.0127069994660343,-0.0585660305151851,-0.0373727237872219,-0.0320095965378246,NA,-0.0402815629655488
44,-0.0378829904343511,-0.0429758094016792,-0.010300870524507,-0.0695471257845994,-0.0135595803262436,0.0392501434516508,NA,0.0332954751014896
45,-0.00894907159406175,-0.0573297134845059,-0.0185088447476215,-0.0729949304579346,-0.0162519296489529,-0.0721169349615349,NA,0.00841420319114478
46,0.0111116063035727,-0.0684759044712657,0.0145246616877226,0.0169257640924178,-0.0312690446199271,0.0164772124450464,NA,-0.0222147085847106
47,-0.0481565042349114,-0.0726572326453374,-0.014093831445825,-0.0640529327346398,-0.000427611886277886,0.0241485352025264,NA,0.0341774436687773
48,-0.0335429862356772,-0.059643139899027,-0.0121752258872335,-0.00631994242788564,-0.0145231509230469,0.0195835339210094,NA,-0.0135295578429874
