"analysis","estimate","lo","hi","effective_B"
"negative_control_Q1",-0.0396753728346419,-0.0655855560279002,0.0077490865270225,1000
"negative_control_Q2",-0.0272203747594788,-0.075419004408168,0.00837043965216023,1000
"negative_control_Q3",-0.0304541262610867,-0.0866162955707803,-0.0012939325641071,1000
"negative_control_Q4",-0.0537796461616949,-0.095821191229761,-0.0116010162442165,1000
"negative_control_Q5",-0.00712545203023139,-0.0448791138616472,0.0336295001313447,1000
"nonmucinous_low",-0.0454968035398052,-0.108362605764432,0.01009050866611,1000
"nonmucinous_high",-0.0918148532575616,-0.146952217884693,-0.0342817730018584,1000
"mucinous_low",-0.00808593029212425,-0.0603976298537519,0.0408350094580526,1000
"mucinous_high",-0.0131254244512974,-0.0872455305591259,0.0592784669933024,1000
"GCA_low",-0.0126006002887069,-0.0411234541545559,0.0136344631397747,1000
"GCA_high",0.0192894728584504,-0.0434262968442863,0.0855375286767324,1000
"SRCC_low",NA,NA,NA,NA
"SRCC_high",-0.0219150365561152,-0.147431194429738,0.104108768212216,1000
"2004-2009_low",-0.0031144135718795,-0.0783915543003383,0.0621895338362328,1000
"2004-2009_high",-0.0463888098932108,-0.118056470021323,0.0304439227659648,1000
"2010-2017_low",-0.019880757542861,-0.0501153813529514,0.0172966413609958,1000
"2010-2017_high",-0.0396121782974911,-0.0964065549687852,0.0128796121335419,1000
"2018-2023_low",-0.0113437765397414,-0.0460808305835104,0.0178507387225419,1000
"2018-2023_high",-0.0515976320671444,-0.127372093395716,0.0289727558587757,1000
