"analysis","variable","weighted_SMD"
"Q1","age",0.0000000000000358913346065464
"Q1","age2",0.0000000000000249199506280973
"Q1","female",0.000000000000000225990599021591
"Q1","year",0.0000000000000427871604508916
"Q1","logsize",0.00000000000000834485032748858
"Q1","size_miss",0.00000000000000509560887620214
"Q1","T2",0.00000000000000638270388115012
"Q1","T3",0.00000000000000734108151144317
"Q1","T4",-0.00000000000000860656700524023
"Q1","grade1",0.0000000000000205042043526985
"Q1","grade2",-0.0000000000000202747281129638
"Q1","grade3",0.000000000000000642551915438109
"Q1","grade4",0
"Q1","nonmucinous",0.0000000000000115729177198736
"Q1","mucinous",0.00000000000000329058116733145
"Q1","SRCC",0.000000000000000975677925295706
"Q1","race_black",0.00000000000000439028643400258
"Q1","race_white",0.000000000000000748809591895146
"Q1","race_other",-0.00000000000000537142948108604
"Q1","income_hi",-0.00000000000000112676608838547
"Q1","metro",0
"Q1","married",0.0000000000000168181827761083
"Q1","nodal_risk",0.000838072597873218
"Q2","age",-0.00000000306873451851901
"Q2","age2",-0.00000000329480267502627
"Q2","female",-0.000000000829326901367863
"Q2","year",-0.0000000102784918606047
"Q2","logsize",-0.00000000383722715391568
"Q2","size_miss",0.0000000032651456059594
"Q2","T2",0.00000000216417944812287
"Q2","T3",-0.0000000121833296831578
"Q2","T4",0.00000000154686847962317
"Q2","grade1",0.00000000201568204977645
"Q2","grade2",-0.0000000137569620141961
"Q2","grade3",0.00000000147224649975799
"Q2","grade4",0.000105149823001384
"Q2","nonmucinous",-0.00000000163917655041742
"Q2","mucinous",0.0000000034943280786309
"Q2","SRCC",0.000000000350808289965902
"Q2","race_black",0.00000000183682062736633
"Q2","race_white",0.0000000171893956628857
"Q2","race_other",-0.0000000349275329959812
"Q2","income_hi",-0.0000000142406305750205
"Q2","metro",0.000136170201808593
"Q2","married",0.00000000178209919979712
"Q2","nodal_risk",0.000162637881898771
"Q3","age",-0.0000000128359139666028
"Q3","age2",-0.0000000105839387520013
"Q3","female",-0.00000000761560834805466
"Q3","year",-0.00000000914088642040316
"Q3","logsize",0.00000000223165663400507
"Q3","size_miss",-0.00000000463698788537669
"Q3","T2",0.00000000996450706954952
"Q3","T3",-0.000000000951870937457979
"Q3","T4",-0.00000000493238782240062
"Q3","grade1",0.00000000680987113991585
"Q3","grade2",-0.00000000508183392614372
"Q3","grade3",-0.00000000281260616880889
"Q3","grade4",-0.000000000653034322035442
"Q3","nonmucinous",0.000000013502260123545
"Q3","mucinous",-0.00000000666650899712413
"Q3","SRCC",-0.000000000636156242930577
"Q3","race_black",-0.00000000278213693343831
"Q3","race_white",-0.000000013008351990451
"Q3","race_other",0.0000000288846702570358
"Q3","income_hi",0.000000010012876139939
"Q3","metro",-0.000130026459406799
"Q3","married",0.00000000722656339908253
"Q3","nodal_risk",0.00295677510607287
"Q4","age",-0.000000000000274409299285494
"Q4","age2",-0.000000000000324371415756906
"Q4","female",-0.0000000000000500372368945362
"Q4","year",-0.000000000000283361695953303
"Q4","logsize",0.00000000000007450345198336
"Q4","size_miss",-0.000000000000104147042883062
"Q4","T2",-0.0000000000000903937344878342
"Q4","T3",0.000000000000403792324305904
"Q4","T4",-0.000000000000378746846794467
"Q4","grade1",-0.0000000000000533880635004165
"Q4","grade2",0.0000000000000114636118160983
"Q4","grade3",0.0000000000000117234156860168
"Q4","grade4",0.0000000000000892525740383686
"Q4","nonmucinous",-0.000000000000016430312247406
"Q4","mucinous",-0.000000000000255027501067661
"Q4","SRCC",0.000000000000147057282051643
"Q4","race_black",0.000000000000150060416102656
"Q4","race_white",-0.000000000000198408193797938
"Q4","race_other",0.0000000000000839806177896596
"Q4","income_hi",0.0000000000000582870418540424
"Q4","metro",0.00000000000000743679019363305
"Q4","married",0.0000000000000923454543787431
"Q4","nodal_risk",0.0041161235799369
"Q5","age",0.00000000166436676401594
"Q5","age2",0.00000000176899027392145
"Q5","female",0.00000000012147467573182
"Q5","year",0.00000000469511182954662
"Q5","logsize",-0.00000000188255892784557
"Q5","size_miss",-0.00000000136918242169529
"Q5","T2",-0.0000571891499891387
"Q5","T3",0.00000000128809013034993
"Q5","T4",0.00000000262857034802802
"Q5","grade1",-0.000000000422906866303614
"Q5","grade2",-0.00000000284216949788235
"Q5","grade3",0.00000000320905804400714
"Q5","grade4",-0.000000000764765928374144
"Q5","nonmucinous",0.00000000332324954113553
"Q5","mucinous",-0.00000000160581170490018
"Q5","SRCC",-0.00000000142980432510555
"Q5","race_black",-0.00000000120413775459648
"Q5","race_white",-0.00000000871219864551245
"Q5","race_other",0.0000000177158881139055
"Q5","income_hi",0.00000000718654293901917
"Q5","metro",-0.000100203817754627
"Q5","married",0.000000000306317611622695
"Q5","nodal_risk",-0.00114808494594946
"bottom_decile","age",-0.0000000149172607841313
"bottom_decile","age2",-0.0000000160557781965146
"bottom_decile","female",0.000000011281938860186
"bottom_decile","year",-0.000000000363180488400607
"bottom_decile","logsize",-0.00000000205144407953356
"bottom_decile","size_miss",0.00000000635187562952731
"bottom_decile","T2",-0.0000000108412187153729
"bottom_decile","T3",-0.00000000670629423529054
"bottom_decile","T4",0
"bottom_decile","grade1",0.00000000365063054166005
"bottom_decile","grade2",-0.00000000365063068773399
"bottom_decile","grade3",0
"bottom_decile","grade4",0
"bottom_decile","nonmucinous",-0.00000000748737894528276
"bottom_decile","mucinous",-0.0000000111504560409388
"bottom_decile","SRCC",0.000179286924181004
"bottom_decile","race_black",-0.00000000476396155757314
"bottom_decile","race_white",0.0000000097059211639054
"bottom_decile","race_other",-0.00000000386313868206047
"bottom_decile","income_hi",-0.0000000127555075003403
"bottom_decile","metro",0
"bottom_decile","married",0.0000000133220173605671
"bottom_decile","nodal_risk",0.0118161288171058
"risk_lt_5pct","age",-0.00000000596206733012598
"risk_lt_5pct","age2",-0.00000000657584577994513
"risk_lt_5pct","female",0.00000000472848238239109
"risk_lt_5pct","year",-0.00000000029877882545529
"risk_lt_5pct","logsize",0.000000000125281009437227
"risk_lt_5pct","size_miss",0.00000000348828021377157
"risk_lt_5pct","T2",-0.00000000472055239104541
"risk_lt_5pct","T3",-0.00000000257017568615328
"risk_lt_5pct","T4",0
"risk_lt_5pct","grade1",0.0000000016280436183168
"risk_lt_5pct","grade2",-0.00000000162804421720254
"risk_lt_5pct","grade3",0
"risk_lt_5pct","grade4",0
"risk_lt_5pct","nonmucinous",-0.00000000305024549075719
"risk_lt_5pct","mucinous",-0.00000000489846516729917
"risk_lt_5pct","SRCC",0.000117163522696607
"risk_lt_5pct","race_black",-0.00000000190445952139918
"risk_lt_5pct","race_white",0.00000000420571955827392
"risk_lt_5pct","race_other",-0.00000000167750089533641
"risk_lt_5pct","income_hi",-0.00000000562066520611853
"risk_lt_5pct","metro",0
"risk_lt_5pct","married",0.00000000560863397419475
"risk_lt_5pct","nodal_risk",0.0126620179387825
