"replicate","cancer_Q1","cancer_Q2","cancer_Q3","cancer_Q4","cancer_Q5","cancer_bottom_decile","cancer_risk_lt_5pct","other_Q1","other_Q2","other_Q3","other_Q4","other_Q5","other_bottom_decile","other_risk_lt_5pct"
1,0.0454881745185606,-0.0581783898824522,0.0234515533910295,-0.0512319282573148,-0.0655284957254942,0.0577136677685725,0.059859012359311,-0.0716805878328482,-0.0087261781238344,-0.0669384753575726,-0.00512975860078195,0.00866947335530951,-0.0325625502566843,-0.0600156948211319
2,-0.0104335040132372,-0.0735215697792632,-0.0189666105103943,-0.0329333421343699,-0.0656953513196614,-0.0058296829015379,0.0111423669556707,-0.00847085372018158,-0.0365957733239306,-0.0475079400154053,-0.067095740475436,0.0346212448750043,0.000918263580438464,-0.00648344578559616
3,-0.0262326696848185,-0.0287058765776306,-0.00597802053385693,-0.00628436051538078,-0.014085039392418,-0.0228550895803814,-0.0190104868151029,-0.0442762815276713,-0.0172188806836207,-0.0710301617323292,-0.064231628600249,0.0152203804858714,-0.0532824373486069,-0.0406242116731646
4,-0.00508374447954018,-0.020121619321953,0.033601194499542,-0.122205933775894,-0.0358459893173992,0.0301368824974846,0.0172360886621732,-0.0299284399904927,-0.0103094412098937,-0.046154975427624,-0.0413041106887938,0.00800347238961188,-0.0303546073086893,0.00617687395758537
5,-0.00109714544062592,-0.00947851970110145,-0.0226399866803158,-0.024142953361361,-0.101620087933178,0.0231230394992237,0.0284476891461992,-0.0746522480876535,-0.0323537608413471,0.0190401567913717,-0.046607045056417,0.0175417045504157,-0.0542475043399717,-0.0187377617680158
6,-0.0189867296415731,-0.0284743717284315,-0.0208783692997438,-0.0085493889376145,-0.058322306469024,0.00752037720754496,0.00247769352152835,-0.0217140332677253,0.0099493302035045,-0.0402085213800354,-0.0397893704166809,0.000204667485753318,0.00713034263584472,-0.00846510538647813
7,-0.00388917613547518,-0.0468925096514825,-0.0134123810265563,-0.0437325025138153,-0.0243318029483169,0.0462817716522761,0.0447172588985075,-0.0566580793360766,-0.00783345120458775,-0.0427217608598371,-0.019946697485247,-0.0399411882624646,0.00997952578538462,0.0166445124167395
8,-0.00682082530876306,0.0270372083738704,-0.0826907522124302,0.00386080450383949,-0.0286047098664989,0.011039054569759,0.00983995281024132,-0.0421117925311745,-0.0317036857754931,-0.0266230596511568,-0.018600840061149,-0.0208678284122784,-0.0370080109200364,-0.0210520891375547
9,0.0164776944868994,-0.0143395442450535,-0.0543617779015764,0.0227857496080551,-0.0745198618090867,0.0187328692176559,0.0169849665315308,-0.0357828044103472,-0.00637865610743363,-0.0111012012017894,-0.0713053023260631,0.0137519788910956,0.0110137689389639,-0.0135558825177857
10,0.0055194616152508,-0.0653129883188374,0.0187210677125889,-0.0794985018942817,-0.0368288839072821,0.0254435504718295,0.00504770161092408,-0.0416448274252485,0.00023565379032392,-0.0452679058652715,-0.0542169804157397,-0.0234827163254802,0.0210258561987946,0.0250255518861223
11,0.0187929885910329,-0.0608087021220673,0.022709936506461,0.0366486605490646,-0.0518432742620799,0.0187686150611594,0.0214790945862906,-0.0381692327599516,-0.0213904269618842,-0.0932476016818096,-0.0393606261769804,-0.0213777737599587,0.00110940134822168,-0.00922731885239544
12,0.0237257206958923,-0.0775165551076502,-0.0676625380006623,0.000585496686675596,-0.0634909500475678,0.0231188539377801,0.0158297286194019,-0.064493815569888,-0.0553983749378199,0.000427017936629318,-0.0194939203591999,0.0211421192255795,-0.00917873691020499,-0.0422505533466716
13,0.0232669528080399,-0.0524262597126993,-0.0151311141931143,-0.0510517362239429,-0.0157962275288104,0.0272686953083469,0.033711334511344,-0.0754710267318657,-0.0379214108878554,-0.0673603871119662,-0.0307062559312231,-0.0195680758479097,-0.0718592928346374,-0.073886192766084
14,-0.0250353305788977,-0.0391365614173724,0.000107166600200659,0.0048625113951003,-0.060605126939882,-0.00603004718013734,0.00440331501903524,0.00996803745274473,0.0113706425511335,-0.0776014212728331,-0.0374868493651165,-0.00301132693453053,0.0340145439094479,0.0276407177959899
15,0.00685610080811272,-0.0596581984148046,-0.0132839042542268,-0.0438793576921926,-0.0456680860459129,0.0259871046387191,0.0119331208720051,-0.0417224094654311,-0.00669405426248702,-0.0561384033343504,-0.0326186623696458,0.0130306334831129,-0.0144374029625673,-0.0211600910938432
16,-0.0255502687828472,-0.00588046335849986,0.0143171033397118,-0.0530767242804329,-0.00191255276395613,0.00933415978696816,0.0125459495086535,-0.0465453886408753,-0.00633874026333284,-0.0406631803723382,-0.0773915262415289,-0.0360869279856717,-0.0120543631126587,-0.00536848801651406
17,0.0156827424825556,-0.0433417159945648,-0.0513694938814912,-0.0574984250222499,-0.0422731453935014,0.0566495546289139,0.0546401809167423,-0.0433643474935851,0.00253392280362523,-0.0518785149718077,-0.0212810202044592,-0.00755969433851462,-0.0120520155073993,-0.0190052399527947
18,0.0262161725821464,-0.0514103818215011,-0.0332985326052705,-0.0505620323258389,-0.0176057323629396,0.0184757151542662,0.0310847793753734,-0.0271211776587142,-0.0283841832981648,-0.0253050740354758,-0.0450342371720905,-0.0373367316485372,-0.027943321267815,-0.0111250350880858
19,0.00405775548734288,-0.0495630293407635,0.0302275443558728,0.0421310005725975,-0.0935090576158853,0.0370722561464157,0.0651157484627563,-0.0330381890534173,0.0217052984112359,-0.105860847868781,-0.0423875920420206,-0.0189047822900364,-0.0382975797449593,-0.000825864124757103
20,0.0196137495847778,-0.0613922548567939,0.026476134141854,-0.0121973009737746,-0.0361596504735948,0.0224630918108783,0.0585541988855445,-0.0306934015362771,-0.0183368653295808,-0.0265369349057581,-0.0507276840190935,-0.0160000874702072,-0.0259949349193755,-0.0528348372542242
21,0.0214546551744253,-0.0713563916059244,-0.00594621720547434,-0.0150230439231336,-0.12095894251809,0.0190606495084351,0.030675209635196,-0.0393546827534071,-0.0062534947936761,-0.0572325000921528,-0.046221583219684,-0.00143120044345417,-0.00536277712698066,-0.0111874607043104
22,-0.0105973968690622,-0.0146904046667466,-0.0185499657492632,-0.0450796419114822,-0.0237194876970772,0.022426287094657,0.00780546955470657,-0.0305031184516835,-0.00445358505368555,-0.014011034185199,-0.022322001042638,0.0366510373944582,-0.0147861924122143,-0.0106130911992139
23,-0.00671360341109913,0.0229403305182501,-0.0320500123227338,0.0185795315299489,-0.0400083745136009,-0.00987847626057508,-0.00342946779157734,-0.0466456388332975,-0.0199207766603678,-0.0149178706766094,-0.0445647470108086,0.0164092556112979,-0.0555570171519103,-0.0542434183231979
24,-0.0208613678117147,-0.0345204665831821,0.00351053453256014,-0.0372441881372108,-0.0368584706810151,-0.0196666602169784,-0.0120723610190272,-0.021475263257422,-0.038263678119661,-0.0225617875837583,-0.0373889152295986,-0.00387697092641688,-0.060668629012453,-0.0559318882378018
25,-0.00296515817369379,-0.0123049921162736,-0.0314333312167679,-0.0117580236876495,-0.0847053218312747,0.0119313550785009,0.0164022876009002,-0.0252756335114932,0.00528920457816556,-0.00279331948731394,-0.0529790392881619,-0.00144114924240932,0.00705529065223365,0.00665063171189778
26,-0.0203417255110122,-0.00492565801475481,-0.0124428706591153,0.030763686001103,-0.0536098656573292,-0.0227603371292237,-0.0159518572564525,-0.0356062992730624,-0.0317492878135472,-0.0410236262710568,-0.0333253404009277,-0.0237053358004282,-0.0515657085234096,-0.0367862010549174
27,0.0220140090359799,0.0177551440747323,-0.0128070003217715,-0.0512385185049114,-0.107832491470115,0.0687749283739534,0.0631056670510841,-0.0588021786225287,-0.0163619292380521,-0.00951490756780687,-0.0657731220305927,-0.00379357904066624,-0.0169257402094713,-0.00220895619155888
28,-0.0164152566780782,-0.0442855898546778,-0.0372891291693959,-0.0397854485956695,-0.0806740959231094,-0.00463561448273284,-0.00240531723383934,-0.0371526639711374,-0.0207719666112233,-0.0483004407434295,-0.0390654335412565,-0.000324491606557287,-0.0190497055781324,-0.014567608093645
29,-0.00624796696795017,-0.0481244904903172,0.00540623919632752,-0.0211042128816973,-0.0394214297602586,0.0237871496825809,0.00890683915424863,-0.0502868430097853,-0.0389356181680464,-0.0770807970358603,-0.0513742618781229,0.00439438145858556,-0.0095937861936448,-0.0185523468506906
30,0.0068413997465116,-0.0357622063751899,0.00705845208270708,-0.031903112254728,-0.00315526005233652,-0.0139434373501522,-0.0148048381008163,-0.0433891673701103,-0.0338388410943224,-0.0363097481828935,-0.0479427405950828,0.007524249609525,-0.0261496647896528,-0.0244099097197927
31,-0.0154482242394484,-0.0314224058616549,0.00282691945651796,-0.0328734256825567,-0.0720866610220316,-0.00843541780125029,0.00397461104626561,-0.0368352695419051,-0.0333611020578639,-0.0162799703095103,-0.0649634750206919,0.0515279635056345,0.00490969683262335,0.0343892654764194
32,-0.0226029196476661,-0.0553065462908973,-0.00146890391940743,0.0133655961178494,-0.123120843026688,0.00176079481006693,0.00403506539497926,-0.0348579669546475,-0.00418050863579832,-0.0481508858163571,-0.0666879882309261,-0.00193776887326215,0.0203778626102902,0.00958847617144709
33,-0.0434248268966756,-0.0243961442346484,-0.00113002758680888,-0.0177032025898324,-0.0531141354398504,-0.0551024895162327,-0.043233057235075,-0.0343403654550858,-0.0173284318845496,-0.0164584218761699,-0.0532557478565802,0.00951675645635121,0.0224716101757365,0.00625727213879912
34,0.0168616739264751,-0.0393923148792184,0.0216554419517173,-0.0721377492449753,-0.0375781882388585,0.0423455508003039,0.0341165785893455,-0.0319272508711395,-0.00425227983248895,-0.0257722427513197,-0.0278050142610659,-0.00561283904092053,-0.0722695696833692,-0.0468764291061438
35,-0.0291651610978803,-0.0299130664633689,-0.0250518853730461,0.0106867860264278,-0.0730599732216807,0.00658408449691327,-0.0189898234007777,-0.0500004614541519,-0.0117466377871481,-0.0660708364854484,-0.0361285783027637,-0.0182474709158889,-0.0334668641828206,-0.0268891047164438
36,0.038067320440917,-0.0359168908486767,-0.0106253784191434,0.0105657195766352,0.0433475087672112,0.0596099958661648,0.0539966169424992,-0.0695560837734974,-0.0205139700444101,-0.0276965524690178,-0.0838585642073213,-0.00383065340008715,-0.0841629259573421,-0.0538970850005475
37,0.00240130251750123,-0.060323728409886,-0.00141539337591268,0.0228607582760914,-0.0433022388927448,-0.0124650941650784,0.00430883008945605,-0.0235267384532581,-0.0537392113652734,-0.0879289995063004,-0.015058134429688,0.0145577230770791,-0.0455452560933567,-0.0293105079068511
38,-0.00556614200810555,-0.0465437629823583,0.00372886658056192,-0.00971390885269971,-0.102384739914595,-0.00671964776969155,-0.020477384080734,-0.0281726359505488,-0.0294959427211116,-0.0494988936195058,-0.0333586632559901,-0.0236734933456544,0.0283104249822659,0.046251287260148
39,-0.00790733286145732,-0.0425500145752227,0.04556810494559,-0.00332521731541785,-0.0521553310141792,-0.0140600539437978,-0.0112754410139481,-0.043189387093481,-0.0498256510864506,-0.0314410440407996,-0.0743234628810339,0.00617426790237295,-0.000784474156238571,0.00752199812576138
40,-0.00882582849722448,-0.0717273371944117,0.00924378068656551,-0.0332549338706829,-0.0697257371375891,0.0325063053298091,0.059415457308657,-0.0622936302852726,-0.0137347538221951,-0.0598177475663204,-0.0346012354790622,-0.00619483381307484,-0.0208172877824221,-0.00143551070857634
41,-0.00946322897832322,-0.0180560557872805,0.019345675201445,-0.0201172795723817,0.0131456801173244,0.0270264314936925,0.0169725927281571,-0.0483683861706185,-0.051422783604801,-0.0313729928001067,-0.0789399465624035,-0.014987477672162,-0.0347271574134723,-0.0347827314602013
42,0.0110834157192877,-0.0435377709145214,-0.00363355946204594,-0.0391277234076402,-0.0533167293645861,0.0481330548075767,0.0388364539211834,-0.0564997532432665,-0.0130698781131406,-0.0248572553686695,-0.071034792655131,0.00374119211791006,-0.0201339779310658,-0.0262443267455637
43,0.00347032672666073,-0.0463565412806633,-0.0426570789118441,-0.0214999314891154,-0.0745137742728424,0.0319968751500339,0.0448622136770093,-0.0240456608481577,-0.0195890092026192,-0.0668041153165082,-0.0502300629274351,0.00111813157921453,-0.0095590302425904,-0.01216629569663
44,0.0506742396218136,0.00956469192778762,-0.0365346074283786,-0.0321358549215036,-0.123535894770228,0.0661458896891561,0.089377078209238,-0.0685394245875797,-0.0599714623251883,-0.0337040346482169,-0.0607954517746349,-0.0243436857797694,-0.0623039613996499,-0.0695715592996801
45,-0.00629719573590738,0.00701772698216205,-0.0248589034289876,-0.0705437976226682,-0.0683469234562982,0.016898095309165,0.0179105817581294,0.00369373809257821,-0.0258859857866276,-0.0799830418665285,-0.040212269357262,-0.0306460312809964,-0.0041049663029513,-0.0014340136310123
46,-0.0122133764586371,-0.085635643295109,-0.0395375295052662,0.0137131063593144,-0.13854674647128,0.00477025140959116,0.00690866187003123,-0.00854885504153334,-0.0377779092193384,-0.0646069550409962,-0.0283625735475645,0.00816094888491292,-0.0398934054021294,-0.0508032541306931
47,-0.00284530147841183,-0.0315565208722619,-0.0025295008564373,-0.0570576855726488,-0.045072875731746,-0.00987617565008177,0.00399158343501594,-0.0247713422240591,-0.0457908331594836,-0.0479447758344783,-0.0268893619683947,-0.00413870731928803,0.0335175808572522,0.0297515905102731
48,0.0214233538144539,-0.0474431716597045,0.0190189265636126,0.0160445856166983,-0.0663795627271783,0.0107221070105586,0.0118725675507675,-0.0393311527778563,-0.0358117390612283,-0.0211476982972761,-0.0306616717825122,-0.00197336796343535,0.0183601834144757,0.00669435798981907
49,-0.0240966187479869,-0.0148931846245288,-0.00735128226869966,0.0206601163346707,-0.0988584151047309,0.0123758030087481,0.0353968762667067,-0.0413023294929267,-0.0189214293039589,-0.0749695545731568,-0.0609779753371011,-0.00239966491311489,0.00612193577199927,0.0359071545299422
50,0.00090099308426262,-0.05197124085558,-0.0112027151086438,0.00994128164930697,-0.0242187543024266,0.0100029622116968,0.0178197585125784,-0.0410045706506085,-0.00472715025334168,-0.0536269089302563,-0.0901664535498935,-0.0317672993531695,-0.0427810870668033,-0.0405774515095769
