"metric","mean","sd","min","max"
"dev_n",3252,0,3252,3252
"dev_pos",738,0,738,738
"dev_auc",0.733234267505762,0.00282435151727693,0.727409164505328,0.738851051995007
"dev_brier",0.151949034634327,0.000525957167175388,0.150925741837758,0.153116508964164
"transport12_n",879,0,879,879
"transport12_pos",190,0,190,190
"transport12_auc",0.739370177984875,0.00348120061796442,0.731556030860897,0.743419142922619
"transport12_brier",0.146799296775676,0.000632331934425683,0.145547794669193,0.147768801997995
"transport12_slope",0.9798349499838,0.0238794875586103,0.929241954185853,1.02701811608406
"transport12_pred",0.222451671971335,0.000986248662611219,0.22001172507463,0.22426302439978
"transport12_obs",0.216154721274175,0,0.216154721274175,0.216154721274175
