"imputation","analysis","n","limited","colectomy","RD_pp","CSM_limited_pct","CSM_colectomy_pct","max_abs_weighted_SMD","ESS_limited","ESS_colectomy"
1,"Q1",1391,720,671,-0.943467972393341,6.5532582700468,5.60979029765346,0.0108809101606636,681.91739947647,646.023007331664
1,"Q2",1390,653,737,-4.16148334144806,12.0171158391554,7.85563249770729,0.00374555804921447,610.965422210778,694.395270067821
1,"Q3",1390,549,841,0.202481055038137,13.7977682523299,14.000249307368,0.00105542571479739,524.530342173568,776.157298426576
1,"Q4",1390,487,903,-1.08387964329057,22.6092478375306,21.5253681942401,0.00151258735866067,473.4475079536,840.709684520879
1,"Q5",1390,468,922,-7.079057989446,39.5275483771012,32.4484903876552,0.00171480417340587,459.759245712254,873.277632540077
1,"bottom_decile",696,387,309,1.29335586203077,5.29848566077798,6.59184152280875,0.0135296758659699,354.045229559328,296.075696745989
1,"risk_lt_5pct",654,364,290,0.944907459237981,5.70715992723053,6.65206738646851,0.0201759316341339,331.278538777345,277.561694274748
2,"Q1",1391,713,678,-1.19287345241764,6.01650183105797,4.82362837864032,0.0167466963685283,676.446615825561,658.01388562313
2,"Q2",1390,639,751,-2.47204716583627,11.5252899352932,9.05324276945696,0.00331369673242008,596.706922124865,701.455851490553
2,"Q3",1390,565,825,0.588137619657705,14.3600053612762,14.9481429809339,0.000647195750531178,543.016648155819,771.666409648738
2,"Q4",1390,500,890,-4.80070001574061,23.7626416049757,18.9619415892351,0.0019275226297311,484.223057732628,824.873318633837
2,"Q5",1390,460,930,-4.87844982878997,39.2919899661601,34.4135401373702,0.00098449652665827,451.831113851159,883.347982742671
2,"bottom_decile",696,371,325,1.27375493398868,4.30076968566142,5.5745246196501,0.00593640491847724,339.410586612659,311.52952390776
2,"risk_lt_5pct",637,349,288,1.48808159955951,4.11351804279917,5.60159964235867,0.00149831148808414,318.756862096515,277.346388045215
3,"Q1",1391,723,668,-1.53481030896163,7.25706137812301,5.72225106916138,0.00329132291024174,687.701744029554,649.256315688811
3,"Q2",1390,633,757,-2.36771329584973,10.4120378950173,8.04432459916753,0.000795924838113745,582.4145766429,700.579498711052
