"imputation","Q1","Q2","Q3","Q4","Q5","bottom_decile","risk_lt_5pct","Q1_pp","Q2_pp","Q3_pp","Q4_pp","Q5_pp","bottom_decile_pp","risk_lt_5pct_pp"
1,-0.00943467972393341,-0.0416148334144806,0.00202481055038137,-0.0108387964329057,-0.07079057989446,0.0129335586203077,0.00944907459237981,-0.943467972393341,-4.16148334144806,0.202481055038137,-1.08387964329057,-7.079057989446,1.29335586203077,0.944907459237981
2,-0.0119287345241764,-0.0247204716583627,0.00588137619657705,-0.0480070001574061,-0.0487844982878997,0.0127375493398868,0.0148808159955951,-1.19287345241764,-2.47204716583627,0.588137619657705,-4.80070001574061,-4.87844982878997,1.27375493398868,1.48808159955951
3,-0.0153481030896163,-0.0236771329584973,-0.0152838332925044,-0.0117023152881935,-0.070312759973576,-0.000326443758553729,0.00237825665969267,-1.53481030896163,-2.36771329584973,-1.52838332925044,-1.17023152881935,-7.0312759973576,-0.0326443758553729,0.237825665969267
4,-0.00884836413494219,-0.0265827638178379,-0.0197945910075224,-0.0359374164249948,-0.0537096740407652,0.0141056094775381,0.0223037355179056,-0.884836413494219,-2.65827638178379,-1.97945910075224,-3.59374164249948,-5.37096740407652,1.41056094775381,2.23037355179056
5,-0.0206690079565518,-0.0224848769019428,-0.0253007984965437,-0.0329770050246374,-0.034389371254215,0.0106446780932855,0.0138800145020878,-2.06690079565518,-2.24848769019428,-2.53007984965437,-3.29770050246374,-3.4389371254215,1.06446780932855,1.38800145020878
6,-0.00890935652165418,-0.028375873596999,0.0168762684840302,-0.0456934110365479,-0.0592628044998916,0.0181679176779845,0.0269119832390806,-0.890935652165418,-2.8375873596999,1.68762684840302,-4.56934110365479,-5.92628044998916,1.81679176779845,2.69119832390806
7,-0.0097255456806349,-0.0195868212844968,-0.0102129866094998,-0.0438920020949127,-0.0424840541052994,0.0156499029644364,0.0164302912624638,-0.97255456806349,-1.95868212844968,-1.02129866094998,-4.38920020949127,-4.24840541052994,1.56499029644364,1.64302912624638
8,-0.00742294401361573,-0.0310402173546461,-0.00907082925071578,-0.03255299230411,-0.0561801237798605,0.0188381294232539,0.0144984092692646,-0.742294401361573,-3.10402173546461,-0.907082925071578,-3.255299230411,-5.61801237798605,1.88381294232539,1.44984092692646
9,-0.00962275998510274,-0.0433070867306853,0.00361781418327151,-0.0396773938694756,-0.0448419025585894,0.013074753153835,0.0129080016856097,-0.962275998510274,-4.33070867306853,0.361781418327151,-3.96773938694756,-4.48419025585894,1.3074753153835,1.29080016856097
10,-0.0165515039871533,-0.0155916051866549,-0.0123928637581669,-0.0121135089211258,-0.076202783146449,0.0155302695664696,0.0174924071176224,-1.65515039871533,-1.55916051866549,-1.23928637581669,-1.21135089211258,-7.6202783146449,1.55302695664696,1.74924071176224
11,-0.0158297889092213,-0.028821881906147,0.000926899346849863,-0.0405423473833733,-0.05934213844748,0.0108888509748499,0.00867929856820687,-1.58297889092213,-2.8821881906147,0.0926899346849863,-4.05423473833733,-5.934213844748,1.08888509748499,0.867929856820687
12,-0.0203653489088818,-0.0162982590046842,-0.00764735750830661,-0.0353296120155533,-0.0498436609389481,0.020737416430356,0.0228479201413029,-2.03653489088818,-1.62982590046842,-0.764735750830661,-3.53296120155533,-4.98436609389481,2.0737416430356,2.28479201413029
13,0.00415352955053908,-0.020824283843438,-0.027758268487072,-0.0375039140004029,-0.0462508059586663,0.0144159261265054,0.0221609339609977,0.415352955053908,-2.0824283843438,-2.7758268487072,-3.75039140004029,-4.62508059586663,1.44159261265054,2.21609339609977
14,-0.0053080214943115,-0.0230366475683415,-0.0201043722760457,-0.0310930711082464,-0.0511236410523804,0.0253563157180968,0.0298826846386883,-0.53080214943115,-2.30366475683415,-2.01043722760457,-3.10930711082464,-5.11236410523804,2.53563157180968,2.98826846386883
15,-0.0120820348333281,-0.0197765677625949,-0.00349790241698536,-0.0448057756892849,-0.0475134718792475,0.0204422939270805,0.0202700749275804,-1.20820348333281,-1.97765677625949,-0.349790241698536,-4.48057756892849,-4.75134718792475,2.04422939270805,2.02700749275804
16,-0.00780158039630723,-0.0247208631707348,-0.0123614140356515,-0.0475930584134056,-0.0477771997231028,0.00282648511950579,0.0162848951875328,-0.780158039630723,-2.47208631707348,-1.23614140356515,-4.75930584134056,-4.77771997231028,0.282648511950579,1.62848951875328
17,0.00631233924588691,-0.0425401090887424,-0.0152776920411671,-0.0435094974585123,-0.0469599192981347,0.0130006786259932,0.00809214857827818,0.631233924588691,-4.25401090887424,-1.52776920411671,-4.35094974585123,-4.69599192981347,1.30006786259932,0.809214857827818
18,-0.00732231449621225,-0.0142949919485071,-0.0106407417269796,-0.0521706962967632,-0.0549065736798553,0.0231132501442491,0.0275057388485208,-0.732231449621225,-1.42949919485071,-1.06407417269796,-5.21706962967632,-5.49065736798553,2.31132501442492,2.75057388485208
19,-0.00538166976251549,-0.0361058956209242,-0.0113499468366314,-0.0328028417995515,-0.0515576298345297,0.00946921501839029,0.0156536945968771,-0.538166976251549,-3.61058956209242,-1.13499468366314,-3.28028417995514,-5.15576298345297,0.946921501839029,1.56536945968771
20,-0.00786632655276713,-0.0420938920648424,-0.00905215958773412,-0.00688385628633303,-0.0696574345694153,0.0167433956505455,0.0266092709698101,-0.786632655276713,-4.20938920648424,-0.905215958773412,-0.688385628633303,-6.96574345694153,1.67433956505455,2.66092709698101
