"diagnosis_year","calendar_full_5yr_potential","group","n","death_before_60_n","followed_at_least_60_n","censored_alive_before_60_n","five_year_status_resolved_n","five_year_status_resolved_pct"
2004,TRUE,"2004",157,47,110,0,157,100
2005,TRUE,"2005",189,63,124,2,187,98.9417989417989
2006,TRUE,"2006",186,69,113,4,182,97.8494623655914
2007,TRUE,"2007",204,59,144,1,203,99.5098039215686
2008,TRUE,"2008",209,55,151,3,206,98.5645933014354
2009,TRUE,"2009",233,78,154,1,232,99.5708154506438
2010,TRUE,"2010",270,81,188,1,269,99.6296296296296
2011,TRUE,"2011",301,81,212,8,293,97.3421926910299
2012,TRUE,"2012",336,88,242,6,330,98.2142857142857
2013,TRUE,"2013",340,87,248,5,335,98.5294117647059
2014,TRUE,"2014",328,84,240,4,324,98.780487804878
2015,TRUE,"2015",338,76,254,8,330,97.6331360946746
2016,TRUE,"2016",405,108,287,10,395,97.5308641975309
2017,TRUE,"2017",403,87,305,11,392,97.2704714640198
2018,FALSE,"2018",410,95,296,19,391,95.3658536585366
2019,FALSE,"2019",407,77,0,330,77,18.9189189189189
2020,FALSE,"2020",399,76,0,323,76,19.047619047619
2021,FALSE,"2021",461,44,0,417,44,9.54446854663774
2022,FALSE,"2022",645,37,0,608,37,5.73643410852713
2023,FALSE,"2023",685,17,0,668,17,2.48175182481752
